Naziv knjige,Autor,Predložio,Korice,Epizoda,Prevod
"The 4
-Hour Workweek",Tim Ferriss,"Dragan Lončar, Nedim Sabic",https://m.media-amazon.com/images/I/51tRKb4SqFL._SY780_.jpg,https://www.youtube.com/watch?v=jchSgfMk8sM&t=6740s,Yes
Way of the turtle ,Curtis Faith ,,https://imgv2-1-f.scribdassets.com/img/word_document/479581925/original/785c7a1e34/1725720647?v=1 ,https://www.youtube.com/watch?v=QFt1EusI9KIž,No
Black Swan,Nassim Nicholas Taleb,Zoran Bogdanovic,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1714172313i/242472.jpg,https://www.youtube.com/watch?v=QFt1EusI9KIž,No
12 Rules for Life,Jordan Peterson,Srdjan Zirojevic,https://www.knjizare-vulkan.rs/files/thumbs/files/watermark/files/images/slike_proizvoda/thumbs_w/thumbs_1200/342717_w_1200_1200px.jpg.webp,https://www.youtube.com/watch?v=bislvYtQeDE,No
"Ime vetra
",Patrik Rotfus,Srdjan Zirojevic,https://www.laguna.rs/_img/korice/1533/ime_vetra-patrik_rotfus_v.jpg,https://www.youtube.com/watch?v=bislvYtQeDE,No
Počni sa zašto,Simon Sinek,Dragan Popović,https://kontrastizdavastvo.rs/__public/upload/2020/11/16/knjiga-pocni-sa-zasto-kontrast-izdavastvo-foto2-11483.jpg,https://youtu.be/9n4bvnuqfis?si=Rh9f8c5oquDKV2wv,Yes
Natprosečni,Malkom Gladvel,Dragan Popović,https://static.kupindoslike.com/Natprosecni-Malkolm-Gledvel_slika_L_147591045.jpg,https://youtu.be/9n4bvnuqfis?si=hCtKLlQ6PLOxZMc7,Yes
Bury My Heart at Conference Room B,Stan Slap,Dejan Cvetković,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWnhCv3CdyXYq93b1IbYEdoxQS6YAM59l5aA&s,https://youtu.be/shLG0eO_hN4?si=kjQLViHkOM-VXF8p,No
Let’s Get Real or Let’s Not Play,Mahan Khalsa,Dejan Cvetković,176697.jpg,https://youtu.be/shLG0eO_hN4?si=ZBaGdQhwSAHH5AVI,No
"Three Horizons: The Patterning of Hope ",Bill Sharpe,Dejan Cvetković,images.jpeg,https://youtu.be/shLG0eO_hN4?si=IJQnd467P8kqgiH_,No
Originalni,Adam Grant,Dragan Lončar,originalni-adam_grant_v.jpg,https://www.youtube.com/watch?v=9n4fvsfDoes,Yes
"Homo Deus ",Yuval Noah Harari,Dragan Lončar,homo_deus_kratka_istorija_sutrasnjice-juval_noa_harari_v.jpg,https://youtu.be/9n4fvsfDoes?si=CNnSoVZuiseNaNOd,Yes
Sa pašnjaka do naučenjaka,Mihajlo Pupin,Dragan Lončar,sa_pasnjaka_do_naucenjaka_vv.jpg,https://www.youtube.com/watch?v=9n4fvsfDoes,Yes
Osnove ekonomije,"Gregori Mankju ",Dragan Lončar,953-246-020-9_k1.jpeg,https://youtu.be/9n4fvsfDoes?si=Wa7QFRk2w7fbC3eb,Yes
Strateški menadžment,"A. Thompson, A.J.Strickland. ",Dragan Lončar,images-2.jpeg,https://youtu.be/9n4fvsfDoes?si=PCcnccobbng3gKr7,Yes
Smart Business,Ming Zeng,Branislav Vujović,71ukczzbhvL._AC_UF10001000_QL80_.jpg,https://www.youtube.com/watch?v=oFluwFhlfq4,No
Elon Musk,Walter Isaacson,Saša Cvetojević,71iWxmst49L._AC_UF8941000_QL80_.jpg,https://www.youtube.com/watch?v=dxrSvDmlUD0,Yes
